PESC,AcademicCalendarCode,Calendar that applies to this student's educational program.  Must be valid or system accepted to process record.
PESC,AcademicProgram,Academic Program(s) related to this Academic Summary
PESC,AcademicProgramName,"Literal name of program, major, or field of study."
PESC,AcademicProgramType,"Indicates whether the academic program is a major, minor, area of concentration or specialization."
PESC,AcademicYearBeginDate,The date the student's academic year starts at the school.
PESC,AcademicYearEndDate,The date the student's academic year ends at the school.
PESC,AccreditingBodyCode,This is the acronym for the regional or other accrediting body that has given accreditation to the school sending the high school transcript
PESC,AccreditingBodyName,The name of the accrediting body.
PESC,ACT,The unique identifier assigned by the American College Testing or ACT for each postsecondary data exchange partner. See www.act.org.
PESC,AdditionalUnsubsidizedEligibility,Is used to indicate when a borrower is receiving an additional unsubsidized loan because a parent failed a credit check for a PLUS loan (FSA).
PESC,Address,This is a combined Address Group for a choice between Domestic or International
PESC,AddressLine,"Local delivery information such as street, building number, PO box, or apartment portion of a postal address of a Contact at the Sending (Source) High School."
PESC,Age,An integer that specifies how old a person is
PESC,Age18To19,A gender breakdown within each age category as listed by the tag names.
PESC,Age20To21,A gender breakdown within each age category as listed by the tag names.
PESC,Age22To24,A gender breakdown within each age category as listed by the tag names.
PESC,Age25To29,A gender breakdown within each age category as listed by the tag names.
PESC,Age30To34,A gender breakdown within each age category as listed by the tag names.
PESC,Age35To39,A gender breakdown within each age category as listed by the tag names.
PESC,Age40To49,A gender breakdown within each age category as listed by the tag names.
PESC,Age50To64,A gender breakdown within each age category as listed by the tag names.
PESC,Age65AndOver,A gender breakdown within each age category as listed by the tag names.
PESC,AgencyAssignedID,An identification number that has been assigned to the student by a state or province or other agency
PESC,AgencyCode,A code that describes the type of agency that assigned the student's identification number
PESC,AgencyName,"The name of the state, province or agency that assigned the identification number to the student"
PESC,AgeUnder18,The count of students under 18 years of age.
PESC,AgeUnknown,The count of students whose age is unknown.
PESC,AlienRegistrationNumber,Alien Registration Number
PESC,AlternateOutcomeFramework,A container to hold the alternative framework taxonomies that map to the learning outcome Alternative framework associated with learning in outcome  
PESC,AlternativeLoanApplicationVersion,A code indicating the version of the alternative loan application used for the loan.
PESC,AlternativeLoanProgramCode,A code indicating the specific category of the alternative loan.
PESC,AmericanIndianOrAlaskaNative,A gender breakdown of persons having origins in any of the original peoples of North and South America (including Central America) who maintain cultural identification through tribal affiliation or community attachment.
PESC,AnticipatedGraduationDate,The date on which the student is or was expected to graduate.
PESC,APAS,Alberta Post-secondary Application System.
PESC,AreaCityCode,Regional dialing code
PESC,Asian,"A gender breakdown of persons having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam."
PESC,ATP,The unique identifier assigned for the Admissions Testing Program by the College Board for each postsecondary data exchange partner.
PESC,Attendance,A grouping of information on student attenance.
PESC,AttendanceCost,"The estimated cost to attend school during the requested loan period, before subtracting any financial aid or expected family contribution. Note: The calculation used to derive Cost of Attendance for alternative loans may differ from the calculation used for FFELP loans."
PESC,AttendanceStatusCode,The attendance status of a degree seeking student as defined by number of credit hours taken and student level.
PESC,AttendanceStatusCodeBeginDate,The begin date of the attendance status referred to above.
PESC,AttendanceStatusCodeEndDate,The end date of the attendance status referred to above.
PESC,AttentionLine,The individual or office name within the postal address where inquiries should be directed.
